N,Error,Order
40,2.6502951738205903e-6,NaN
80,1.7290216110097583e-7,3.938125240833134
120,3.4636847816120475e-8,3.9653419700581827
160,1.1036081140405342e-8,3.975736349365828
200,4.539282269307881e-9,3.9812985602282183
